g6,edges,alpha,theta,gap,ratio,theta_ub,status
L?AAD?WLB_POBo,19,5,5.7832649438,0.7832649438,1.1566529888,5.83362197,Solved
L?AEB?We@HF_F_,21,5,5.7832074818,0.7832074818,1.1566414964,5.79363523,Solved
L?AA@AWT@SRGN?,20,5,5.7832074804,0.7832074804,1.1566414961,5.81987927,Solved
L?AAD?wX?wQOAo,19,5,5.7824568036,0.7824568036,1.1564913607,5.82215713,Solved
L?AAD?oeAg@SRO,19,5,5.7822491058,0.7822491058,1.1564498212,5.82525115,Solved
L?AAD@oIag@[M_,21,5,5.7809878221,0.7809878221,1.1561975644,5.81813177,Solved
L?AAD@OIAWQODo,18,5,5.7807991408,0.7807991408,1.1561598282,5.80527521,Solved
L?AAD@OICcB_Do,18,5,5.7800265476,0.7800265476,1.1560053095,5.80131535,Solved
L?AADAoFAgDOBo,20,5,5.7798396000,0.7798396000,1.1559679200,5.84564978,Solved
L?AAD?sXCSBWm?,21,5,5.7793030430,0.7793030430,1.1558606086,5.79150994,Solved
L?AAD?wLAg@Wi_,20,5,5.7792521389,0.7792521389,1.1558504278,5.83239709,Solved
L?AA@BOT@oDOBW,19,5,5.7790299827,0.7790299827,1.1558059965,5.82536979,Solved
L?AAD?wX?wROEo,21,5,5.7789609719,0.7789609719,1.1557921944,5.79007375,Solved
L?AAD@OI@cB_Cs,18,5,5.7789543454,0.7789543454,1.1557908691,5.79675121,Solved
L?AAD@OIAWUOBg,19,5,5.7789020623,0.7789020623,1.1557804125,5.81842586,Solved
L?AAD?sX?sV?Cs,21,5,5.7788588803,0.7788588803,1.1557717761,5.82007999,Solved
L?AAD?sXCSBOBo,20,5,5.7782873032,0.7782873032,1.1556574606,5.80855586,Solved
L?AAD?sXCoBOFO,20,5,5.7780283378,0.7780283378,1.1556056676,5.80113463,Solved
L?AAD?sXCSBOFo,21,5,5.7779408208,0.7779408208,1.1555881642,5.81283272,Solved
L?AADAoFAgDOBw,21,5,5.7777004108,0.7777004108,1.1555400822,5.81527913,Solved
L?AAD?sXCSAYm?,21,5,5.7767719931,0.7767719931,1.1553543986,5.80271856,Solved
L?AAD?sX?sROFO,21,5,5.7764162973,0.7764162973,1.1552832595,5.80640240,Solved
L?AAD?sXCoBOBo,20,5,5.7756772253,0.7756772253,1.1551354451,5.80475141,Solved
L?AAD@OIAWBOBg,18,5,5.7755681353,0.7755681353,1.1551136271,5.79252641,Solved
L?AEB?WU@HF_Eo,21,5,5.7752697149,0.7752697149,1.1550539430,5.78694575,Solved
L?AAD?oeAg@SUO,19,5,5.7750025145,0.7750025145,1.1550005029,5.81240417,Solved
L?AAD?oeAg@SVO,20,5,5.7749654129,0.7749654129,1.1549930826,5.81199329,Solved
L?AAD?wLEOHgL_,21,5,5.7749165937,0.7749165937,1.1549833187,5.79477826,Solved
L?AAD?sXCcAwYA,21,5,5.7748885421,0.7748885421,1.1549777084,5.87931129,Solved
L?AAD?sXCcAwEc,21,5,5.7748885420,0.7748885420,1.1549777084,5.86917895,Solved
L?AAD?sX?sRODo,21,5,5.7748885412,0.7748885412,1.1549777082,5.81833260,Solved
L?AAD?sXCc@[Do,21,5,5.7748885409,0.7748885409,1.1549777082,5.86900532,Solved
L?AAD?sXCcAw}?,22,5,5.7748885409,0.7748885409,1.1549777082,5.85733015,Solved
L?AAD?sXCcAwm?,21,5,5.7748885407,0.7748885407,1.1549777081,5.87879497,Solved
L?AA@AOT@wTOJg,21,5,5.7748885406,0.7748885406,1.1549777081,5.87113231,Solved
L?AAD?sXCoBOFo,21,5,5.7748885395,0.7748885395,1.1549777079,5.79426648,Solved
L?AEB?WU@gBWHL,22,5,5.7748885383,0.7748885383,1.1549777077,5.78963244,Solved
L?AAD?WLBGRODo,20,5,5.7748885383,0.7748885383,1.1549777077,5.81863044,Solved
L?AAD?oeAgHgaI,20,5,5.7748885381,0.7748885381,1.1549777076,5.87225883,Solved
L?AAD?wX?wQOBo,20,5,5.7748885380,0.7748885380,1.1549777076,5.80435441,Solved
L?AAD?sXCcRODo,21,5,5.7748885375,0.7748885375,1.1549777075,5.87364206,Solved
L?AAD?wXCcAwN?,21,5,5.7748885372,0.7748885372,1.1549777074,5.79573743,Solved
L?AAD?sXCcBWDo,21,5,5.7748885363,0.7748885363,1.1549777073,5.86427203,Solved
L?AAD?sXCcBIDo,21,5,5.7748885356,0.7748885356,1.1549777071,5.85951706,Solved
L?AAD?sXCcBWF_,21,5,5.7748885356,0.7748885356,1.1549777071,5.81359753,Solved
L?AAD?wX?wQOFo,21,5,5.7748885355,0.7748885355,1.1549777071,5.79875012,Solved
L?AAD?sXCcFODo,21,5,5.7748885352,0.7748885352,1.1549777070,5.86262512,Solved
L?AAD?WLBGROFo,21,5,5.7748885351,0.7748885351,1.1549777070,5.80663686,Solved
L?AAD?sXCcJGDo,21,5,5.7748885344,0.7748885344,1.1549777069,5.84115556,Solved
L?AAD?sXCcAwEs,22,5,5.7748885344,0.7748885344,1.1549777069,5.86420350,Solved
L?AAD?sXCcN?Do,21,5,5.7748885343,0.7748885343,1.1549777069,5.86513066,Solved
L?AAD?sXCcAwi_,21,5,5.7748885342,0.7748885342,1.1549777068,5.85902055,Solved
L?AAD?sXCcAwm_,22,5,5.7748885339,0.7748885339,1.1549777068,5.86960262,Solved
L?AAD?sXCcBWBo,21,5,5.7748885339,0.7748885339,1.1549777068,5.79742759,Solved
L?AEB?WU@gBgGl,22,5,5.7748885337,0.7748885337,1.1549777067,5.79177917,Solved
L?AAD?sX?sROFo,22,5,5.7748885337,0.7748885337,1.1549777067,5.78882608,Solved
L?AA@BOT@oTOJg,21,5,5.7748885336,0.7748885336,1.1549777067,5.88120991,Solved
L?AAD?sXCcBWFo,22,5,5.7748885333,0.7748885333,1.1549777067,5.79665522,Solved
L?AAD?sXCcAwac,21,5,5.7748885332,0.7748885332,1.1549777066,5.87702377,Solved
L?AAD?sXCcAwec,22,5,5.7748885331,0.7748885331,1.1549777066,5.87588537,Solved
L?AADbGR@oEOLG,21,5,5.7746737278,0.7746737278,1.1549347456,5.78545055,Solved
L?AAD@oR?sUOAw,21,5,5.7744290573,0.7744290573,1.1548858115,5.79732061,Solved
L?AAD?sXCcBIFO,21,5,5.7739260841,0.7739260841,1.1547852168,5.79873480,Solved
L?AAD@OI@g@oCc,17,5,5.7736810639,0.7736810639,1.1547362128,5.78901766,Solved
L?AAD@OI@g@oCs,18,5,5.7736797730,0.7736797730,1.1547359546,5.82038111,Solved
L?AAD@OJDoHgHg,21,5,5.7735998364,0.7735998364,1.1547199673,5.80087152,Solved
L?AAD@OI@g@oDc,18,5,5.7735615511,0.7735615511,1.1547123102,5.80659965,Solved
L?AAD@OI@g@oDs,19,5,5.7735272453,0.7735272453,1.1547054491,5.83136761,Solved
L?AAD@oI_\BgSS,22,5,5.7734363237,0.7734363237,1.1546872647,5.79947249,Solved
L?AEB?WU@HM_Aq,21,5,5.7733571691,0.7733571691,1.1546714338,5.84616473,Solved
L?AB?qQUAWSH{?,22,5,5.7729293172,0.7729293172,1.1545858634,5.79596432,Solved
L?AA@owwAgPODc,21,5,5.7727635935,0.7727635935,1.1545527187,5.78159314,Solved
L?AADbGR@oEOHg,21,5,5.7727578826,0.7727578826,1.1545515765,5.81503800,Solved
L?AADbGR@oEOLg,22,5,5.7727412489,0.7727412489,1.1545482498,5.79138567,Solved
L?AAD@Oi@g@WJ_,19,5,5.7717725042,0.7717725042,1.1543545008,5.81145589,Solved
L?AAD?wLEOHgHa,21,5,5.7717528797,0.7717528797,1.1543505759,5.79133713,Solved
L?AAD?oFAgT@Bw,21,5,5.7717497852,0.7717497852,1.1543499570,5.79029658,Solved
L?AAD?oeAgHgAi,20,5,5.7715553880,0.7715553880,1.1543110776,5.81733036,Solved
L?AA@BOTDOAWe_,19,5,5.7710161898,0.7710161898,1.1542032380,5.81585812,Solved
L?AAD@oI_wIgAw,21,5,5.7703268061,0.7703268061,1.1540653612,5.81347141,Solved
L?AAD@oI_wIgBw,22,5,5.7697397246,0.7697397246,1.1539479449,5.80202206,Solved
L?AAD@OICcB_Bo,18,5,5.7695925427,0.7695925427,1.1539185085,5.80152965,Solved
L?AAD@OI?wDoCs,19,5,5.7694513213,0.7694513213,1.1538902643,5.82934879,Solved
L?AEB?WU@HF_Cq,21,5,5.7693917600,0.7693917600,1.1538783520,5.80843905,Solved
L?AEB?WU@HF_Eq,22,5,5.7693909512,0.7693909512,1.1538781902,5.78373027,Solved
L?AA@AWT@SYGN_,21,5,5.7693497331,0.7693497331,1.1538699466,5.80227442,Solved
L?AAD?oFAgVOBw,22,5,5.7692071509,0.7692071509,1.1538414302,5.78002777,Solved
L?AAD?wXCcBWN?,21,5,5.7691980474,0.7691980474,1.1538396095,5.80089898,Solved
L?AAD?oEAg@waI,19,5,5.7689682728,0.7689682728,1.1537936546,5.80216243,Solved
L?AAD@OI?wDoDs,20,5,5.7689278314,0.7689278314,1.1537855663,5.83051987,Solved
L?AAD?oEAg@wag,19,5,5.7687958591,0.7687958591,1.1537591718,5.80832657,Solved
L?AAD?oEAg@wai,20,5,5.7686581813,0.7686581813,1.1537316363,5.81701980,Solved
L?AAD@oIaoB_Aw,20,5,5.7682654817,0.7682654817,1.1536530963,5.81805394,Solved
L?AAD?wXCsBWN?,22,5,5.7680344875,0.7680344875,1.1536068975,5.78042412,Solved
L?AAD?sXCSBWN?,21,5,5.7680344874,0.7680344874,1.1536068975,5.80331303,Solved
L?AAD?sXCcBWN?,21,5,5.7680344858,0.7680344858,1.1536068972,5.81336003,Solved
L?AAD?sX?sTOAs,21,5,5.7672434151,0.7672434151,1.1534486830,5.80784174,Solved
L?AAD@oI_wJ_Aw,21,5,5.7671923408,0.7671923408,1.1534384682,5.80537157,Solved
L?AAF@cM?sBgm?,22,5,5.7671923406,0.7671923406,1.1534384681,5.78204979,Solved
L?AEB?WU@HM_Eq,22,5,5.7671386240,0.7671386240,1.1534277248,5.80896073,Solved
L?AAD?oFAgPODo,19,5,5.7669451944,0.7669451944,1.1533890389,5.81996900,Solved
L?AAD?oFAgPOEo,19,5,5.7668428966,0.7668428966,1.1533685793,5.83816618,Solved
L?AAD?oFAgPOFo,20,5,5.7665795836,0.7665795836,1.1533159167,5.83467240,Solved
L?AAD?sXCc@YFo,22,5,5.7662816401,0.7662816401,1.1532563280,5.80232431,Solved
L?AEB?We@HM_Do,21,5,5.7661157529,0.7661157529,1.1532231506,5.78843464,Solved
L?AAD?sX?sPQFo,22,5,5.7659713785,0.7659713785,1.1531942757,5.80782218,Solved
L?AEB?WU@HN_Eq,23,5,5.7659071134,0.7659071134,1.1531814227,5.78358092,Solved
L?AAF@cM?sAwag,22,5,5.7657327563,0.7657327563,1.1531465513,5.78337040,Solved
L?AAF@cM?sV?Do,22,5,5.7655533308,0.7655533308,1.1531106662,5.80782269,Solved
L?AAF@cM?sV?Fo,23,5,5.7655533281,0.7655533281,1.1531106656,5.78795844,Solved
L?AAD@OIAWQOBo,18,5,5.7655358246,0.7655358246,1.1531071649,5.78139602,Solved
L?AAD@oI_w@sTS,22,5,5.7653283393,0.7653283393,1.1530656679,5.78554631,Solved
L?AAD?oeAgHgag,20,5,5.7652028461,0.7652028461,1.1530405692,5.80341523,Solved
L?AAD?wXCc@wN?,21,5,5.7651898589,0.7651898589,1.1530379718,5.78935203,Solved
L?AAD?wX?wROFo,22,5,5.7651898528,0.7651898528,1.1530379706,5.77692328,Solved
L?AADbGR@cCsm?,22,5,5.7650329302,0.7650329302,1.1530065860,5.80119698,Solved
L?AAD@OIAWUOBo,19,5,5.7647751635,0.7647751635,1.1529550327,5.79151264,Solved
L?AAD@OI@cB_Dc,18,5,5.7647600223,0.7647600223,1.1529520045,5.80071389,Solved
L?AAD@OI@cH_Hg,18,5,5.7647600144,0.7647600144,1.1529520029,5.79241325,Solved
L?AAD?WLB_@oaE,19,5,5.7646911460,0.7646911460,1.1529382292,5.80346568,Solved
L?AAD@OI@cH_Aw,18,5,5.7646270121,0.7646270121,1.1529254024,5.80711269,Solved
L?AAD?WLB_PODo,19,5,5.7646264463,0.7646264463,1.1529252893,5.82118029,Solved
L?AAD@OI?wUOBW,19,5,5.7646092370,0.7646092370,1.1529218474,5.82255713,Solved
L?AEB?WU@LAw\?,22,5,5.7645554313,0.7645554313,1.1529110863,5.78719682,Solved
L?AAD@OIAWQOHg,18,5,5.7645539520,0.7645539520,1.1529107904,5.79744989,Solved
L?AE@aoQPwF_BW,23,5,5.7644279973,0.7644279973,1.1528855995,5.77527830,Solved
L?AAD?oEAgDoBw,20,5,5.7642573876,0.7642573876,1.1528514775,5.80690011,Solved
L?AAD@oR?sUOBg,21,5,5.7642517487,0.7642517487,1.1528503497,5.78635892,Solved
L?AAD?sXCo@WF_,20,5,5.7637774444,0.7637774444,1.1527554889,5.80388913,Solved
L?ABAaIeB_F_Bo,22,5,5.7634666835,0.7634666835,1.1526933367,5.78098201,Solved
L?AAD@W[?[UORO,21,5,5.7633871285,0.7633871285,1.1526774257,5.81188913,Solved
L?AAD?oEAg@sL_,19,5,5.7631242103,0.7631242103,1.1526248421,5.78580227,Solved
L?AAD?oEAg@sN_,20,5,5.7630734802,0.7630734802,1.1526146960,5.80668437,Solved
L?AAD?oEAgEoBw,20,5,5.7627480252,0.7627480252,1.1525496050,5.78976323,Solved
L?AAD?oFAgTPBw,22,5,5.7626135227,0.7626135227,1.1525227045,5.77856597,Solved
L?AAD?oEAgFoBw,21,5,5.7625658603,0.7625658603,1.1525131721,5.80265959,Solved
L?AA@AWT@cHGJ?,18,5,5.7624720617,0.7624720617,1.1524944123,5.78037690,Solved
L?AAD@W[?UrORO,22,5,5.7620396323,0.7620396323,1.1524079265,5.77974650,Solved
L?AADbGR@oEoKc,22,5,5.7616512620,0.7616512620,1.1523302524,5.77418240,Solved
L?AAD?wLEOJGL_,21,5,5.7616512616,0.7616512616,1.1523302523,5.79423149,Solved
L?AADbGR@cEcm?,22,5,5.7614963015,0.7614963015,1.1522992603,5.77338739,Solved
L?AAD@oIaW@s}?,22,5,5.7612631501,0.7612631501,1.1522526300,5.79759299,Solved
L?AAD@OIAWBOAw,18,5,5.7612297941,0.7612297941,1.1522459588,5.79171603,Solved
L?AAD@OIAWUOCs,19,5,5.7609191829,0.7609191829,1.1521838366,5.81009337,Solved
L?AAD@Oi@g@oDc,19,5,5.7609155109,0.7609155109,1.1521831022,5.81213014,Solved
L?AA@BOTDO@WeO,19,5,5.7608482459,0.7608482459,1.1521696492,5.80248888,Solved
L?AAD@W[?YUOFo,22,5,5.7608430973,0.7608430973,1.1521686195,5.79848581,Solved
L?AADbGR@cV?Lg,23,5,5.7608071885,0.7608071885,1.1521614377,5.78143339,Solved
L?AAD@oIao@oTC,20,5,5.7608001361,0.7608001361,1.1521600272,5.80079231,Solved
L?AAD?oeAg@WF_,19,5,5.7607687971,0.7607687971,1.1521537594,5.81500827,Solved
L?AAD@Oi@gBODo,19,5,5.7607162576,0.7607162576,1.1521432515,5.82488591,Solved
L?AAD@oIaoB_Bg,20,5,5.7605446610,0.7605446610,1.1521089322,5.83387411,Solved
L?AAD@OI@g@kk_,19,5,5.7603431798,0.7603431798,1.1520686360,5.79453107,Solved
L?AAD?WLBHV?Do,21,5,5.7603180004,0.7603180004,1.1520636001,5.78233192,Solved
L?AEB?We@gBoPK,21,5,5.7602363870,0.7602363870,1.1520472774,5.79480976,Solved
L?AA@AWT@cHGN?,19,5,5.7601380236,0.7601380236,1.1520276047,5.81599648,Solved
L?AA@BOT@SV?aS,20,5,5.7600173741,0.7600173741,1.1520034748,5.81346854,Solved
L?AAD?oeAgPSUO,20,5,5.7600037316,0.7600037316,1.1520007463,5.80917931,Solved
L?ABAaIeB_D_BQ,21,5,5.7599989745,0.7599989745,1.1519997949,5.78747344,Solved
L?AAF@cM?sROFO,22,5,5.7599989739,0.7599989739,1.1519997948,5.77277171,Solved
L?AAD?wXCcAwZ?,21,5,5.7599989712,0.7599989712,1.1519997942,5.78803877,Solved
L?AAD?oeAg@oDo,19,5,5.7597994877,0.7597994877,1.1519598975,5.80042578,Solved
L?AEB?WeAHboN?,22,5,5.7594074159,0.7594074159,1.1518814832,5.77619090,Solved
L?AAD@oI_wJ_Bg,21,5,5.7594074158,0.7594074158,1.1518814832,5.80574396,Solved
L?AAD@oIagFOBg,21,5,5.7594074152,0.7594074152,1.1518814830,5.80340741,Solved
L?AEB?WNF_@weO,23,5,5.7593288961,0.7593288961,1.1518657792,5.77931470,Solved
L?AAD?oeAg@oFO,19,5,5.7592979726,0.7592979726,1.1518595945,5.80998844,Solved
L?AAD?oeAg@WUO,19,5,5.7587459032,0.7587459032,1.1517491806,5.80289109,Solved
L?AAD?oFAgPSm_,21,5,5.7586475369,0.7586475369,1.1517295074,5.80152750,Solved
L?AAD@OI@cB_Ds,19,5,5.7586030919,0.7586030919,1.1517206184,5.80475949,Solved
L?AAD@OI@cH_Jg,19,5,5.7586030885,0.7586030885,1.1517206177,5.79970733,Solved
L?AA@BOTDO@WFO,19,5,5.7585866863,0.7585866863,1.1517173373,5.79082420,Solved
L?AAD?oeAg@WVO,20,5,5.7585760736,0.7585760736,1.1517152147,5.80678331,Solved
L?AAD@OIAWQOJg,19,5,5.7585231429,0.7585231429,1.1517046286,5.79165900,Solved
L?AAD?WLB_@oae,20,5,5.7585007526,0.7585007526,1.1517001505,5.80765184,Solved
L?AAD@OIAWFOCe,19,5,5.7582772832,0.7582772832,1.1516554566,5.78401846,Solved
L?AAD?WLEoCsTO,21,5,5.7582749527,0.7582749527,1.1516549905,5.78178947,Solved
L?AAD?oFAgTODo,20,5,5.7581174431,0.7581174431,1.1516234886,5.82441201,Solved
L?AAD?oFAgTOFo,21,5,5.7581035842,0.7581035842,1.1516207168,5.82654735,Solved
L?AAD@OI@cH_Bw,19,5,5.7579555309,0.7579555309,1.1515911062,5.79281259,Solved
L?AAD@OI@cJ_Ds,20,5,5.7579550440,0.7579550440,1.1515910088,5.79972185,Solved
L?AAD@OIAWUOJg,20,5,5.7578834277,0.7578834277,1.1515766855,5.80476236,Solved
L?AAD@oRDc@w]?,22,5,5.7578503306,0.7578503306,1.1515700661,5.79593810,Solved
L?AAD?oeAgPSVO,21,5,5.7577949369,0.7577949369,1.1515589874,5.79401709,Solved
L?AAD?WLB_POFo,20,5,5.7576941062,0.7576941062,1.1515388212,5.80894646,Solved
L?AAD?oeAgJGai,21,5,5.7574783074,0.7574783074,1.1514956615,5.80969737,Solved
L?AAD@W[?]UOV?,22,5,5.7565663506,0.7565663506,1.1513132701,5.79291881,Solved
L?AAD?wX?wVOFo,23,5,5.7564665291,0.7564665291,1.1512933058,5.76838639,Solved
L?AAD@Oi@gAWM_,19,5,5.7562420027,0.7562420027,1.1512484005,5.80757396,Solved
L?AAD@OI@WBOCq,18,5,5.7560775392,0.7560775392,1.1512155078,5.78418550,Solved
L?AAD@OIAW@sca,19,5,5.7560540717,0.7560540717,1.1512108143,5.78686205,Solved
L?AAD@OI@cJ_Bg,19,5,5.7560540704,0.7560540704,1.1512108141,5.79274704,Solved
L?AAD?sX?sV?FO,21,5,5.7560155644,0.7560155644,1.1512031129,5.78647430,Solved
L?AAD?wXCsAwN?,22,5,5.7560078790,0.7560078790,1.1512015758,5.77328766,Solved
L?AA@AOTFOAwe_,20,5,5.7559724125,0.7559724125,1.1511944825,5.81262863,Solved
L?AAD?oeAg@TVO,21,5,5.7558370732,0.7558370732,1.1511674146,5.79808718,Solved
L?AAD?oFAgPDm_,21,5,5.7558320639,0.7558320639,1.1511664128,5.78278977,Solved
L?AAD?oFAgVOai,22,5,5.7558173725,0.7558173725,1.1511634745,5.79705538,Solved
L?AAD?oeAgHgai,21,5,5.7558111992,0.7558111992,1.1511622398,5.80172650,Solved
L?AAD@OICcBGJG,18,5,5.7557507130,0.7557507130,1.1511501426,5.78036308,Solved
L?AA@AWT@cHG]?,19,5,5.7557301980,0.7557301980,1.1511460396,5.81870314,Solved
L?AEB?WU@Df_FQ,23,5,5.7557177423,0.7557177423,1.1511435485,5.76780981,Solved
L?AAD?oFAo@[M_,20,5,5.7556662395,0.7556662395,1.1511332479,5.80807426,Solved
L?ABAaIeB_D_Ba,21,5,5.7555405064,0.7555405064,1.1511081013,5.78622443,Solved
L?AAD@OIAW@sKa,19,5,5.7555322682,0.7555322682,1.1511064536,5.77734049,Solved
L?AAD@OIAWUODo,19,5,5.7554245620,0.7554245620,1.1510849124,5.77799637,Solved
L?AAD?sX?sTOFO,21,5,5.7554134175,0.7554134175,1.1510826835,5.79247188,Solved
L?AAD@Oi@g@oCs,19,5,5.7552476237,0.7552476237,1.1510495247,5.77659212,Solved
L?AA@AWT@cHGao,19,5,5.7550912750,0.7550912750,1.1510182550,5.80104841,Solved
L?AAD@OICcBGBW,18,5,5.7550818988,0.7550818988,1.1510163798,5.78257256,Solved
L?AAD@OICcBGBo,18,5,5.7550619244,0.7550619244,1.1510123849,5.78222156,Solved
L?AAD?cEF_IgJ_,20,5,5.7550338184,0.7550338184,1.1510067637,5.79005298,Solved
L?AAD@OIAW@ska,20,5,5.7548432370,0.7548432370,1.1509686474,5.78629729,Solved
L?AA@BOT@S@We?,18,5,5.7547830634,0.7547830634,1.1509566127,5.80200626,Solved
L?AA@BOT@oDOAw,19,5,5.7547830574,0.7547830574,1.1509566115,5.80491913,Solved
L?AA@BOTCoDOas,20,5,5.7547830563,0.7547830563,1.1509566113,5.80878123,Solved
L?AA@owwAgPOFc,22,5,5.7547593538,0.7547593538,1.1509518708,5.76492170,Solved
L?AAD@OI@g@sCs,19,5,5.7547536298,0.7547536298,1.1509507260,5.78797166,Solved
L?AAD?sX?sV?Fo,22,5,5.7546969238,0.7546969238,1.1509393848,5.78329227,Solved
L?AA@?Wu?{N_eo,23,5,5.7546860519,0.7546860519,1.1509372104,5.77249278,Solved
L?AA@_gEEQIcGf,21,5,5.7546860489,0.7546860489,1.1509372098,5.76831294,Solved
L?AAD?oeAgHcaI,20,5,5.7546860476,0.7546860476,1.1509372095,5.85938937,Solved
L?AA@_geEQQSHF,22,5,5.7546860464,0.7546860464,1.1509372093,5.78293517,Solved
L?AA@?Wu?{M_eo,22,5,5.7546860457,0.7546860457,1.1509372091,5.78280443,Solved
L?AA@AWT@kROuO,22,5,5.7546860455,0.7546860455,1.1509372091,5.77039129,Solved
L?AAD?oEAgDoAi,19,5,5.7546775951,0.7546775951,1.1509355190,5.80983215,Solved
L?AEB?We@g@wHK,21,5,5.7545073718,0.7545073718,1.1509014744,5.79707275,Solved
L?AAF@cM?sRODo,22,5,5.7544931385,0.7544931385,1.1508986277,5.78578400,Solved
L?ABAaIeB_D_Bq,22,5,5.7544931374,0.7544931374,1.1508986275,5.77865305,Solved
L?AAF@cM?sROFo,23,5,5.7544931367,0.7544931367,1.1508986273,5.76738119,Solved
L?AEB?WeBHBoN?,22,5,5.7544865185,0.7544865185,1.1508973037,5.76826258,Solved
